"","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"1",0.0386632161634545,-0.067075526775579,0.0539074332057771,-0.00520872066585859,2.5
"2",0.0975453421021384,-0.0700416312283997,0.102197404787105,-0.00946797618398099,2.5
"3",-0.185849399745296,-0.0313739093958217,-0.141720615962377,-0.00810140958456875,2.5
"4",-0.0669907803402857,-0.0925607019039767,-0.010410444009251,-0.0175049435899314,2.5
"5",0.0195669047622046,-0.0661044186221214,0.0442147921874699,0.0109015265324492,2.5
"6",0.111191675695608,-0.0622342754962671,0.197621372608873,-0.0263230114999871,2.5
"7",0.148250090140277,-0.0588022561453109,0.122749368592428,0.0112509759793565,2.5
"8",-0.066332037668728,-0.0731117820517238,-0.0417096585357448,-0.0121254224844599,2.5
"9",-0.0724448401327793,-0.00796678419992347,-0.0821661191362447,0.0316527728614878,2.5
"10",-0.184566491972677,-0.0720646905429697,-0.0184091996925557,0.00229829679203757,2.5
"11",0.096062172536733,-0.0814758558276156,0.131181935380766,-0.00140382745546923,2.5
"12",-0.0646244610850737,-0.0674206634184404,-0.0391816702839085,-0.00186707259471018,2.5
"13",-0.316200899888774,-0.0647440081399103,-0.124469728036705,0.00252446102116484,2.5
"14",-0.0285848355061264,-0.0763247518210233,-0.0150527282871071,-0.00535433422707353,2.5
"15",-0.339616821151248,-0.115082935662723,-0.190484333342619,-0.0133029972935568,2.5
"16",0.217546482815903,-0.0619169103599145,0.0438744352703202,-0.0114877298700353,2.5
"17",0.0937381912815942,-0.0470776140480678,0.0162838907348418,0.0197428046640187,2.5
"18",-0.135561059701558,-0.064354487474566,-0.0234563575821297,0.0223078884273262,2.5
"19",-0.00392778558872409,-0.0343399389763404,0.0443221262376021,0.0326681431861474,2.5
"20",0.186523770130679,-0.0485657345942708,0.0188935595984486,-0.00327987847043342,2.5
"21",-0.291829861687531,-0.118237177693277,-0.0867807115193362,0.00750040362997389,2.5
"22",0.149475714205459,-0.0772489922005445,0.116173714191296,0.0127370793379835,2.5
"23",0.282301504817692,-0.0106584511939212,0.216992646525159,0.0194368299221365,2.5
"24",0.133299648130718,-0.0914938225679491,0.106285037641707,-0.0264237041437697,2.5
"25",-0.0959911246181804,-0.0459536918537982,0.0293371827493752,0.0107539548612937,2.5
"26",-0.091155050984472,-0.0701781719341352,-0.0688505822847136,0.00521592410769122,2.5
"27",0.0816622167065065,-0.0466403153035682,0.0646550288228796,0.00133052913356835,2.5
"28",0.0591770781953116,-0.00641832437862466,0.133486869819437,0.0234983345641187,2.5
"29",0.0601471230511961,-0.0551106543786165,-0.0230417906157058,-0.00733994387970119,2.5
"30",0.0304044161235076,-0.0758347562077805,0.0124711719591393,-0.0144526746395152,2.5
"31",-0.0909470292227322,-0.0656088809668182,0.0143126658935873,-0.021387201829888,2.5
"32",-0.0647184282300385,-0.0428781137269952,-0.00125244155446083,-0.00541290776029214,2.5
"33",-0.227749070753555,-0.0536479748078988,-0.0353571662574228,0.0148366336383578,2.5
"34",-0.140045214216406,-0.0353858035294168,-0.0467669872335145,0.0165408464331611,2.5
"35",0.0827502581503575,-0.0639441041451201,0.0383698540344837,0.00621418959451693,2.5
"36",-0.384130705814107,-0.155640250270085,-0.217006577597928,-0.0381179481160627,2.5
"37",0.202555693864922,-0.0946854651817349,0.154989061350068,-0.000389834064537107,2.5
"38",0.104088343783057,-0.0468547724975643,0.0314299890127953,-0.002399288520844,2.5
"39",-0.292680090486764,-0.032827675003352,-0.146078704014362,0.0162054996571028,2.5
"40",-0.246763379612556,-0.0932946602741309,-0.181871789547834,-0.00953165914530228,2.5
"41",0.0180750912536949,-0.0354031105177576,-0.00945651382520692,0.00514240715954959,2.5
"42",-0.180096693948202,-0.0899563285964473,-0.149441658980329,0.00390384545819299,2.5
"43",-0.0147708014211747,-0.0825678996715563,-0.0419629901620234,-0.00376481291735,2.5
"44",0.00114763986075028,-0.0631330942738463,0.0087175369370871,-0.00226321646699688,2.5
"45",-0.133629036984486,-0.013132882362682,-0.0706928759485219,0.029068911958527,2.5
"46",0.0395561455524189,-0.0686718059324132,0.0678533576698648,-0.00851312452004593,2.5
"47",0.0533044722103677,-0.0635074921904401,0.0226810997228371,0.00220812406686039,2.5
"48",-0.0681288607533029,-0.0970022963170821,-0.0720887001572294,-0.00615438555306521,2.5
"49",0.0395801202937848,-0.00676071780188103,-0.0810686099779438,0.00274188914642791,2.5
"50",-0.188378087268097,-0.066067835085964,-0.14623143112199,-0.00383843507799896,2.5
"51",-0.0599290487659166,-0.0706844135586733,0.0290813463364821,-0.00757280561940655,2.5
"52",0.0174426296791005,-0.0483666611187158,0.051748648898378,0.00276931294887211,2.5
