"","if.bias","pi.bias","CACE.bias","piPar.bias","delta"
"1",0.296429726334501,0.00788931957855576,0.219636998871466,0.248450284760221,1
"2",0.352531269533918,-0.041693420539302,0.240788692690976,0.249745228052227,1
"3",0.302917866634791,0.0665263230383159,0.244155723963506,0.229478742686327,1
"4",0.242427053420829,0.047883013313573,0.235844759487155,0.231794062560662,1
"5",-0.207110014804749,-0.103421716777591,-0.0980315792233759,-0.0658939440802286,1
"6",0.01413640562226,-0.0323313820465615,0.00321579693923785,0.0462536893005543,1
"7",-0.151605783266042,-0.113410849884243,-0.0848879320213825,-0.0592414655724767,1
"8",0.312826889679591,0.0276473338567821,0.856911520937448,0.173013659102369,1
"9",-0.0236956804968025,-0.0848635600801652,-0.0541938271165923,-0.0431385691402501,1
"10",-0.21105247531211,0.0173979480941018,-0.105887262635276,-0.0904163856831283,1
"11",-0.0768128045376596,-0.015996508404592,-0.0857254930937592,-0.0679898593252435,1
"12",0.19284736379967,-0.0362096842973389,0.0660468140144681,0.089673218447321,1
"13",0.034710587549613,-0.0119060754836093,0.0365319695735751,0.087569618767849,1
"14",0.207799432412472,-0.0204000203637483,0.141382726462763,0.118239752646414,1
"15",-0.136028652583956,-0.125296320017575,-0.00525213760616949,-0.0244240420607703,1
"16",0.229265041352397,0.135780331197334,0.253149852542001,0.263678462273146,1
"17",-0.174317924910678,-0.0257217060588966,-0.0595243379105811,-0.0228263412979512,1
"18",0.0176720303727094,-0.0395661274083353,0.0510142606712128,0.0600408126108577,1
"19",-0.122425208919192,-0.0818231083269763,-0.0323796112706214,-0.026267697911408,1
"20",0.098095563302445,0.00874984530284861,0.0794983634011213,0.0442589701477928,1
"21",-0.0316120760517198,-0.0427071188349795,0.00283042976349243,-0.00800045638004646,1
"22",-0.0342461650580048,-0.0699318990105703,-11.578617025522,0.0643643246811531,1
"23",0.0378808192547536,0.0735126933126354,0.161326519111735,0.0430356796096319,1
"24",0.241638454472862,0.0444817907588511,11.610565393125,0.0766149680557362,1
"25",-0.089343675852172,-0.0352431811194606,-0.0902349238353278,-0.044702125863192,1
"26",-0.0979077032899131,-0.00244820217737546,-0.0766062843593326,-0.0197656775542696,1
"27",0.131506580130021,-0.0240526715792754,0.0602096247016871,0.0394483545284509,1
"28",-0.206770824103671,0.028738074252191,-0.154003704705795,-0.161657326694012,1
"29",0.159834643829717,-0.0995544806603544,0.0415175053621861,0.0845792200446195,1
"30",-0.161837311080995,-0.103973785520692,-0.218417322211859,-0.210371478518199,1
"31",0.138186092762336,0.0308740371737634,0.189148457795368,0.202963337795537,1
"32",-0.130083642436208,-0.190826066658995,0.0119960881227633,-0.0270451622607243,1
"33",0.210617482487383,-0.0378931263434716,0.163585349607267,0.197463086488574,1
"34",0.0530849824256613,0.0245899761302069,0.158720265823725,0.0673908213089377,1
"35",0.0141987140609204,0.0753927318358899,0.055863995083101,0.133146170924566,1
"36",-0.197332592804533,-0.122091009600181,-0.171412497873716,-0.157782284556515,1
"37",-0.106610302836008,-0.177576063747641,-0.117712748986648,-0.139636054175578,1
"38",-0.319319244376827,-0.115245294549766,-0.271919191383848,-0.236196133201438,1
"39",-0.0414783919736383,0.0197800665607316,0.090000825460352,0.111755685629577,1
"40",-0.0429179552127487,0.0708004714878584,0.245943282741895,0.0826726741295133,1
"41",0.201283128171851,0.0390101097701447,0.277415518194262,0.294173291449121,1
"42",-0.0582212083458648,-0.0103417920954036,-0.059260528954327,-0.00818758424061936,1
"43",0.107792280897517,-0.0396864440968259,0.061292034082651,0.0446981011216048,1
"44",-0.110211634965849,-0.101273525595056,0.0857964859419031,0.0267821827976686,1
"45",0.143703047821008,-0.054625832352121,0.152036969488915,0.13200050987494,1
"46",-0.182903813316229,-0.142111887252824,-0.151533136384368,-0.128261886191297,1
"47",-0.056377958735364,-0.0815466507893485,0.0125363694347951,0.0368929857678219,1
"48",-0.0814664352522919,0.0429328464669895,-0.0546124718690608,-0.0763624051531488,1
"49",0.102991168897386,-0.056686409726267,0.0707874446409431,0.153533400171772,1
"50",0.0279969648883309,0.00778737741499161,0.110315375423501,0.107075851893948,1
