"","X","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"52",52,0.0704201500952342,-0.0336201999750471,0.0473886974821541,-0.0234938388026646,0.5
"53",53,-0.0659822653723331,0.0548476596231279,-0.137022849554779,-0.00571481445659148,0.5
"54",54,-0.0399525481598071,-0.0847896466496654,-0.0747809421047164,-0.070933132515192,0.5
"55",55,0.00365282370007031,-0.0353467553390573,0.0114103892606178,-0.0128688853551317,0.5
"56",56,-0.11584816518223,-0.0533554519417598,-0.0776486435576206,-0.00351877297982264,0.5
"57",57,0.0856644830428774,0.0366270128546956,0.0701444841487901,0.0285272432954444,0.5
"58",58,0.0354789013899353,-0.0128084673581215,0.0723974470303118,0.0352756410695231,0.5
"59",59,-0.239812187430596,-0.103760409863717,-0.173478539371935,-0.0386584486839861,0.5
"60",60,-0.086852341921851,-0.113731152757924,-0.00857371172386038,-0.0174455070704965,0.5
"61",61,-0.00614508750774016,0.00203875341984198,-0.037720547232271,-0.00845680229319046,0.5
"62",62,-0.00198117629185846,0.0619730639709083,-0.0318914757640055,0.0292905377335344,0.5
"63",63,-0.0298064705490191,-0.0241400484181164,-0.008642280491465,0.00727165170552972,0.5
"64",64,-0.067844105583374,-0.1040885860168,-0.0308061826734471,-0.038905445789469,0.5
"65",65,-0.140836011737628,-0.0909767941276948,-0.0746401494961693,-0.0412989637273852,0.5
"66",66,-0.0431699986147808,0.00593184068153743,-0.068868789551451,-0.022759493850757,0.5
"67",67,0.0258746896275885,-0.0249425576259901,0.0886184186819229,0.0446191885119558,0.5
"68",68,0.0366915607573445,-0.0694461994488179,0.0472218502723721,-0.0334798570079652,0.5
"69",69,-0.0946834405174183,-0.00249284367537231,-0.0496197690614302,0.0355940935900885,0.5
"70",70,0.278383081766817,0.0502448485066753,0.211320000620484,0.0145495561300446,0.5
"71",71,0.0180174762021125,-0.059466066465313,-0.0544744605278875,-0.113523390963587,0.5
"72",72,-0.0790222607324712,-0.0606151448780355,-0.0526783246416241,-0.0448526588693768,0.5
"73",73,0.0407124208809578,-0.00334378301474023,0.0109821186820812,-0.0241001240316103,0.5
"74",74,0.162268761127183,0.0855675364921559,0.0551367434797557,-0.0110224832060993,0.5
"75",75,-0.0606744202524351,-0.0440517536039985,-0.0206925762110512,0.0224975243695827,0.5
"76",76,-0.0451407427005034,0.0182070726473603,-0.122829576855565,-0.0610086174791954,0.5
"77",77,-0.0475127600639871,-0.120634074022838,-0.0160506196184236,-0.065922985943483,0.5
"78",78,0.00726312242528804,-0.00110814663373296,-0.0820790225299802,-0.0484340785498227,0.5
"79",79,-0.00515046251890557,-0.0355657530508852,0.0166125976590169,0.00271156986951844,0.5
"80",80,-0.123004741697396,0.0742442784915357,-0.158921704487089,0.026937297431972,0.5
"81",81,-0.0528884750051127,-0.0256430985926727,-0.00834571480773095,0.0141505039939026,0.5
"82",82,-0.147425126065093,-0.0705606246151103,-0.163172877032816,-0.0823637351392985,0.5
"83",83,-0.0366482513623613,0.00209891512477586,-0.0410212961925138,0.0147047814071561,0.5
"84",84,-0.0344549521566678,-0.0281105254722959,-0.0245764622333348,-0.00208460959262588,0.5
"85",85,-0.122085762211311,-0.0348255162569811,-0.0123886591099165,0.0482178649837299,0.5
"86",86,0.00194462209606544,-0.0571112675966088,0.00377608242516967,-0.0389459163510994,0.5
"87",87,-0.00366247417911322,-0.0789566660448471,0.0017070169013043,-0.0577809123042655,0.5
"88",88,-0.0548078060918964,0.0178117666286578,-0.108764161783509,-0.0364156457356811,0.5
"89",89,0.0227504942726603,0.0247881389635986,0.0260894191300634,0.04678698691763,0.5
"90",90,-0.0255026244161782,-0.124957433326293,0.0190484223393711,-0.051723598227135,0.5
"91",91,-0.136373293267819,-0.0675353770682605,-0.0566205859413618,0.0262439192867538,0.5
"92",92,0.0682912331587803,0.0218031249802852,0.0649628613424379,0.0498805232599063,0.5
"93",93,-0.00306304964218,0.000450733589616323,0.0171380588360238,0.0102166442716995,0.5
"94",94,0.00468956549863588,0.00582172672468174,0.0127452972140856,0.0311902690909195,0.5
"95",95,-0.0367421490082553,-0.0696804286465402,-0.0177776845669194,-0.0386244893241462,0.5
"96",96,-0.301245110015129,-0.149305973073487,-0.212520472287414,-0.0708092890284613,0.5
"97",97,-0.0762244140930524,-0.0748323397347394,-0.051696919363754,-0.0545827932654093,0.5
"98",98,-0.0580875262279357,-0.0102323633527776,-0.0478978392875237,0.0100296710730724,0.5
"99",99,-0.0485891293247921,-0.0622311765493039,-0.00585725242092415,-0.0354890451842913,0.5
"100",100,-0.183007572276787,-0.0803940917938147,-0.106248175614037,-0.0165534370756292,0.5
"101",1,-0.03182949474178,-0.00226679496195289,-0.076699377535018,-0.0125963395645725,1
"102",2,-0.0545675564444248,-0.0194716335248369,-0.00142014700719864,0.033313340663082,1
"103",3,-0.0450811923522545,-0.122431450421846,0.0290265117578672,-0.0262419117107514,1
"104",4,0.00111589979859822,-0.115611753632452,0.0680678650612285,-0.023022860186047,1
"105",5,-0.0568972027081367,-0.0112058528295088,-0.0712157280432909,-0.0341670013878944,1
"106",6,-0.140492102443513,-0.0066067475727532,-0.0979665384557569,0.0121581615518244,1
