"","true.eff","delta","IF","PI"
"272",2,3,2.05974884111499,2
"273",2,3,2.06851381191309,2
"274",2,3,1.95861834649653,2
"275",2,3,2.08021116862453,2
"276",2,3,2.09942581688093,2
"277",2,3,1.96009530104001,2
"278",2,3,2.07284863900498,2
"279",2,3,1.91921216160604,2
"280",2,3,1.96529759790502,2
"281",2,3,1.99645720313543,2
"282",2,3,2.0705117908881,2
"283",2,3,1.98763629003597,2
"284",2,3,1.9518476486326,2
"285",2,3,2.07617107824002,2
"286",2,3,1.95840320334116,2
"287",2,3,1.99030924898149,2
"288",2,3,2.09094182643775,2
"289",2,3,2.03575678189558,2
"290",2,3,2.07848087663377,2
"291",2,3,2.10422145515488,2
"292",2,3,2.01459224819116,2
"293",2,3,1.93535571981678,2
"294",2,3,1.94793318125277,2
"295",2,3,1.96814873732525,2
"296",2,3,2.14638481251007,2
"297",2,3,1.94599346979562,2
"298",2,3,1.94971516134141,2
"299",2,3,1.98581765436604,2
"300",2,3,2.02966491663274,2
"301",2,4,1.94622255812098,2
"302",2,4,2.04372327251577,2
"303",2,4,1.93355882461883,2
"304",2,4,2.00870868053113,2
"305",2,4,2.01387206906836,2
"306",2,4,1.89008003481691,2
"307",2,4,1.97125506483078,2
"308",2,4,2.03813071388614,2
"309",2,4,1.96869091703413,2
"310",2,4,2.07893090923527,2
"311",2,4,1.93777689876935,2
"312",2,4,2.08955626392475,2
"313",2,4,1.97465638702713,2
"314",2,4,2.06494651566931,2
"315",2,4,2.05692886190137,2
"316",2,4,1.90703802055878,2
"317",2,4,2.02047516742676,2
"318",2,4,2.05753167188308,2
"319",2,4,2.12335505023001,2
"320",2,4,2.02487515557066,2
"321",2,4,1.94492518829776,2
"322",2,4,1.78173659128495,2
"323",2,4,1.94563941088755,2
"324",2,4,2.04059332498927,2
"325",2,4,2.01812133872447,2
"326",2,4,2.01372574055656,2
"327",2,4,2.13239358592195,2
"328",2,4,1.99748355555839,2
"329",2,4,1.9653165820697,2
"330",2,4,1.98395646307697,2
"331",2,4,2.05749003325653,2
"332",2,4,1.92440713061004,2
"333",2,4,1.93505420989327,2
"334",2,4,2.03448908747754,2
"335",2,4,2.01275294706374,2
"336",2,4,1.98529057052931,2
"337",2,4,1.97061961612553,2
"338",2,4,2.06958365293181,2
"339",2,4,2.02724709254321,2
"340",2,4,1.97112335808007,2
"341",2,4,1.98685707865324,2
"342",2,4,1.96388060312864,2
"343",2,4,1.98104425064125,2
"344",2,4,2.08321621381976,2
"345",2,4,2.02627315059873,2
"346",2,4,1.99016685069308,2
"347",2,4,1.99521519913584,2
"348",2,4,2.02755164827506,2
"349",2,4,1.97786644299617,2
"350",2,4,1.92476114751648,2
"351",2,4,2.02464128457881,2
"352",2,4,2.02172580548696,2
"353",2,4,1.96589559403085,2
"354",2,4,1.96853898612963,2
"355",2,4,2.04247854842958,2
"356",2,4,2.01998087558273,2
"357",2,4,2.04490077685043,2
"358",2,4,1.99124450674336,2
"359",2,4,2.0723272938415,2
"360",2,4,1.97067560571323,2
"361",2,4,1.90996225405631,2
"362",2,4,1.97184548976501,2
"363",2,4,2.03179211159191,2
"364",2,4,1.96909867289169,2
"365",2,4,1.94235416214741,2
"366",2,4,2.02614468546369,2
"367",2,4,1.96639771525335,2
"368",2,4,1.9627898257186,2
"369",2,4,2.06841657632603,2
"370",2,4,1.95007103641934,2
"371",2,4,1.92986048164079,2
"372",2,4,2.04478944489577,2
"373",2,4,2.0168373744623,2
"374",2,4,1.96358590757063,2
"375",2,4,2.00323842554459,2
"376",2,4,1.93956025973638,2
"377",2,4,1.93123828693575,2
"378",2,4,1.95916940106284,2
"379",2,4,1.99309014343505,2
"380",2,4,2.08273170873154,2
"381",2,4,1.93191246040632,2
"382",2,4,1.92952952999544,2
"383",2,4,1.95023990745525,2
"384",2,4,1.93410975833565,2
"385",2,4,2.0660007461223,2
"386",2,4,1.97498986134879,2
"387",2,4,2.01614331387554,2
"388",2,4,2.06420013716883,2
"389",2,4,1.94147467259953,2
"390",2,4,2.01996665474562,2
"391",2,4,2.0799692903486,2
"392",2,4,1.98239767939136,2
"393",2,4,2.01386689551293,2
"394",2,4,1.96513946518647,2
"395",2,4,1.97312009685366,2
"396",2,4,2.02481230213245,2
"397",2,4,2.05562730433704,2
"398",2,4,1.95252576575836,2
"399",2,4,2.0488366010761,2
"400",2,4,2.05831834784857,2
"401",2,5,2.07363989260967,2
"402",2,5,1.94851086484352,2
"403",2,5,2.06666614594596,2
"404",2,5,1.98986704751804,2
"405",2,5,2.00027990675323,2
"406",2,5,1.96787755258101,2
"407",2,5,1.93726551191795,2
"408",2,5,1.96219714603865,2
"409",2,5,1.99119206113551,2
"410",2,5,1.95067305130414,2
"411",2,5,1.92852315508342,2
"412",2,5,2.01535777049896,2
"413",2,5,1.95045168788418,2
"414",2,5,2.05657660841009,2
"415",2,5,1.88583336748588,2
"416",2,5,2.03876378850433,2
"417",2,5,2.01549673332889,2
"418",2,5,2.0569018669278,2
"419",2,5,2.00873168899671,2
"420",2,5,1.99199216582943,2
"421",2,5,2.02151528338766,2
"422",2,5,2.00026382976076,2
"423",2,5,2.0816146611663,2
"424",2,5,1.98943351487406,2
"425",2,5,2.00445142301728,2
"426",2,5,2.02600023448737,2
"427",2,5,1.90484016093914,2
"428",2,5,2.00477127395898,2
"429",2,5,1.99055229180374,2
"430",2,5,1.9725669598897,2
"431",2,5,2.01283988178518,2
"432",2,5,2.13183766613108,2
"433",2,5,2.02643437231034,2
"434",2,5,1.95364403667114,2
"435",2,5,2.00198805483441,2
"436",2,5,1.88549282170372,2
"437",2,5,2.07541632194929,2
"438",2,5,2.03444277673452,2
"439",2,5,1.91952873164,2
"440",2,5,2.05497381018993,2
"441",2,5,1.9207792247091,2
"442",2,5,2.01671751448874,2
"443",2,5,2.04225028779471,2
"444",2,5,1.98328520638178,2
"445",2,5,2.12305827068656,2
"446",2,5,2.0477942848631,2
"447",2,5,1.93671434242324,2
"448",2,5,1.96166463724246,2
"449",2,5,2.01098258765522,2
"450",2,5,2.0538008009323,2
"451",2,5,1.92084688023341,2
"452",2,5,2.02786772691336,2
"453",2,5,1.99366921945555,2
"454",2,5,2.04621214525929,2
"455",2,5,2.1818327333483,2
"456",2,5,1.94863568957046,2
"457",2,5,1.9288722551437,2
"458",2,5,1.98956171739304,2
"459",2,5,2.06685387467224,2
"460",2,5,2.06449311503877,2
"461",2,5,2.09385498057,2
"462",2,5,1.99261538609895,2
"463",2,5,2.10036147975651,2
"464",2,5,2.01020656917688,2
"465",2,5,1.96003663718796,2
"466",2,5,2.02584907516215,2
"467",2,5,2.04444715789544,2
"468",2,5,1.94170111851513,2
"469",2,5,2.01735842576385,2
"470",2,5,1.9830030392895,2
"471",2,5,1.95267778075098,2
"472",2,5,2.06458897442625,2
"473",2,5,2.06742050213785,2
"474",2,5,2.06849210523802,2
"475",2,5,1.95847303117776,2
"476",2,5,1.92476136699827,2
"477",2,5,2.06786960600939,2
"478",2,5,1.98322849904336,2
"479",2,5,1.98201048312951,2
"480",2,5,1.91442899303615,2
"481",2,5,2.03790568882125,2
"482",2,5,2.05677496582609,2
"483",2,5,1.94111284351413,2
"484",2,5,1.9988530011838,2
"485",2,5,1.99288669440069,2
"486",2,5,2.05283592666841,2
"487",2,5,2.01703234052559,2
"488",2,5,2.04071026994778,2
"489",2,5,2.0124950286562,2
"490",2,5,2.09306150290889,2
"491",2,5,2.01770616189988,2
"492",2,5,2.01640118734769,2
"493",2,5,1.98527408879253,2
"494",2,5,1.95183626089967,2
"495",2,5,1.99989624805659,2
"496",2,5,2.05490812807274,2
"497",2,5,1.97903473565632,2
"498",2,5,2.00828419086178,2
"499",2,5,2.0356753759748,2
"500",2,5,2.0004783756116,2
