"","temp","","","","","","","","","","","","","","","","","","","","","",""
"1","delta","-0.302162353590454","-0.309049168139898","-0.28070216140246","-0.261688758281362","-0.145795592138217","-0.137564603756183","-0.268078010373091","-0.260704034309271","-0.174536171217695","-0.162898398294992","-1.15978411386553e-19","-1.99172288514381e-19","0.278343233189584","0.287342455517323","0.293016126288687","0.289513793098686","0.282484310290797","0.289893648605801","0.288204319767569","0.286537818116692","0.284146611610012","0.279303316145674"
"2","bottom","-0.00122705333333335","-0.000456406666666668","-0.00100649333333335","-0.00788235333333334","-0.000732526666666686","-0.0123927733333333","-0.00140148666666668","-0.00376588000000001","-0.00138862000000002","-0.00262235333333334","-0.00122238666666669","0.0112141066666667","-0.00137143333333335","-0.00634146","-0.00146325333333335","0.0055064","-0.000859320000000019","-0.00336574000000001","-0.00138096666666668","0.00263024666666667","-0.00123230666666668","0.000112893333333331"
"3","mean(a - mu_a_xz)","0.00369408635456597","0.0302035593136661","0.0206866218038096","0.0131461858882056","0.161874318960072","0.137482635196153","0.719061312963081","0.779226604452872","2.10185217484948","1.98269719304598","4.2140402439251","4.10873414405599","3.35531839801986","3.63878917044606","3.05758006268496","3.04081340248425","2.39486286428658","2.88733264432367","2.04497169270683","2.25755903992865","2.19947714128708","2.25578993531723"
"4","mean(pi_min)","3.94682211456671","3.99702708632837","4.14028165563997","4.22077733000088","4.18384895181477","4.22370569073496","4.23843014852947","4.12826575312091","4.02166728501212","4.33013935985624","4.2140402439251","4.10873414405599","4.07484285272496","4.16582027719404","4.21846932894798","4.21207027750912","4.03717534338204","4.26365872449266","4.09902672182124","4.07004003476979","4.09432383139278","3.98840327980223"
"5","mean(pi)","0.305732793333333","0.313075813333333","0.288850153333333","0.269998506666667","0.1530431","0.1394328","0.258777953333333","0.252940066666667","0.170552453333333","0.169850966666667","-0.00122238666666669","0.0112141066666667","-0.270752086666667","-0.281632473333333","-0.28037212","-0.27280284","-0.274093026666667","-0.278916193333333","-0.278333753333333","-0.275182886666667","-0.278386833333333","-0.27479192"
"6","mean(a - mu_a_xzplus)","-0.302162353590454","-0.309049168139898","-0.28070216140246","-0.261688758281362","-0.145795592138217","-0.137564603756183","-0.268078010373091","-0.260704034309271","-0.174536171217695","-0.162898398294992","-1.15978411386553e-19","-1.99172288514381e-19","0.278343233189584","0.287342455517323","0.293016126288687","0.289513793098686","0.282484310290797","0.289893648605801","0.288204319767569","0.286537818116692","0.284146611610012","0.279303316145674"
