"","delta","IF","IFsd","PI","PIsd","CACE","CACEsd","piPar","piParsd"
"1",1,0.667181893693638,0.097821028650491,0.664020723143211,0.0379736587545384,0.73043346242934,0.0794523055037668,0.736579377488577,0.0820396312599082
"2",2,0.262256217483221,0.256074722965202,0.287866094541871,0.0286304195148093,0.292646708495082,0.159533660567552,0.292837661242141,0.151279348187891
"3",3,0.298364394977718,0.19776493014401,-0.0120375853971322,0.037917909492734,0.132842560986695,0.179319925392604,0.14284251156511,0.181609558988198
"4",4,0.102365519072613,0.412144078946523,-0.177424245100483,0.030885362708941,-0.0929304054745321,0.169378316082745,-0.0846479096564234,0.168977704819928
