"true.eff","delta","IF","PI","IF.sd","PI.sd"
2,1,2.06540021262099,2.02598057008534,0.0344305709171989,0.0668905617430568
2,1,1.9778672847905,1.98888753184224,0.0333655502043574,0.0668127657576533
2,1,2.124454729828,2.13961524158128,0.0347381338094055,0.0693836729528571
2,1,2.04666929769533,2.02448589188738,0.0331793617003023,0.0687116172242131
2,1,1.99727850966237,1.94682909449627,0.0341459711969312,0.0643333817100145
2,1,1.96901177250441,1.98394104077078,0.033199323890599,0.0633694345811359
2,1,2.00288973916769,2.0474398871478,0.0338117125702624,0.0670173205794888
2,1,1.99556362404785,1.94071076668325,0.0358720679232293,0.0666322019652294
2,1,2.04484008182066,2.07333922476415,0.0341984061003744,0.0675601951487609
2,1,1.92700329988222,1.95035097333751,0.032226399344969,0.0656581925847322
2,1,1.97636058412807,1.96998095555358,0.0330837545056071,0.06754957719107
2,1,1.99952202190261,2.04238339647218,0.0324662837101804,0.0669933607285087
2,1,1.99724975002203,1.93896766208731,0.0334114550609407,0.0654126169571652
2,1,2.05204932741101,1.99081322424019,0.0360986130986862,0.0671747437691156
2,1,1.98305003256097,1.90979821615269,0.0328813262758538,0.0651015143669321
2,1,1.97597604871277,1.97661457704708,0.0327560040442,0.0663429184981626
2,1,2.0076602525517,1.99171165360797,0.0323841746688331,0.0667263474033876
2,1,2.04639420365577,2.01839004453904,0.0335865955076233,0.069425048218126
2,1,1.99548609100328,1.96577831620872,0.0334713562182003,0.066699831485934
2,1,2.02582384505911,1.99166301115069,0.0339130481159562,0.0674800150909384
2,1,1.96920806466273,1.97978475280232,0.0326482079558382,0.065417201497046
2,1,2.11407777266911,2.12380977417952,0.0352240081378722,0.0684958265565826
2,1,1.97275545402443,1.95169550216854,0.0326300174750426,0.0641384523208796
2,1,2.00134183021649,1.99937622487607,0.03277090022281,0.067029019475728
2,1,1.95700972668888,1.94017205387447,0.032598580555302,0.0682602631085809
2,1,1.94602003770608,1.95451391170845,0.0329067837434205,0.066566614129774
2,1,2.02104846293984,2.03974085791531,0.0330666127276026,0.0688263813302192
2,1,2.02413045454026,1.99152965440879,0.0340871819893295,0.0689221816978705
2,1,2.04887985853489,2.05018912251965,0.0341402313425766,0.0668126216103802
2,1,2.09107324923659,2.06610744163465,0.0333127261212155,0.0670955866497243
2,1,1.89616419267923,1.90988807327914,0.0333590262367423,0.0635497465716482
2,1,1.9916673661905,1.98499408218374,0.0332951913340833,0.0664117647468463
2,1,2.02094274705196,2.04814270722342,0.0353175761278544,0.0701279622384619
2,1,2.05211366296465,2.01780249138708,0.0333990439686563,0.0652581850626693
2,1,2.145444591364,2.13219198159844,0.0362573444777948,0.0692058215174428
2,1,1.97601488857635,1.9849827032901,0.0327320917877173,0.0695590815657407
2,1,2.00040059800548,1.94822223743617,0.0342863049849096,0.0658525146950891
2,1,2.06939582598547,2.09823849527046,0.0332461276705513,0.0673912698493634
2,1,2.03171707181784,1.99551672854784,0.0339778859929353,0.0660239455987625
2,1,1.96883847440562,1.96908406690047,0.0319233738064778,0.0664657117358602
2,1,1.96716224326028,1.93838558327178,0.0337242347443668,0.0663364841315467
2,1,2.0222344663465,1.97880247591117,0.0341771950306841,0.0675241768771609
2,1,2.04072335941401,2.00914960503153,0.035793173190402,0.0671395525125512
2,1,2.07722157616318,2.0423550971725,0.034420858689139,0.0656245902106398
2,1,2.0523273066851,2.00066491386037,0.0331034808116365,0.0642939584843582
2,1,2.00503146501388,2.06915705717215,0.0342256313165149,0.0686727596167877
2,1,2.00186548853055,2.06479809623303,0.0354865688637198,0.070340861253306
2,1,2.0242702479708,2.02337478130605,0.0337697777917022,0.0659463419384507
2,1,1.96307493947807,1.99183627863599,0.0333701449093222,0.0669627610058367
2,1,2.02143781258908,2.02674029193102,0.0326871594625593,0.0669115755509734
2,1,1.92060782899279,1.87291795452986,0.0319609952642863,0.0634912838808899
2,1,2.05575491227448,2.04829723937624,0.0341234216577651,0.0675421828879004
2,1,2.01182475788492,2.04865691374865,0.0332382882367553,0.0655289962933834
2,1,1.99219201186235,2.00709755482755,0.0336283790501715,0.0664218091854141
2,1,1.97050963407125,1.97984200448246,0.0335446317746018,0.0661048030700564
2,1,2.17072182347887,2.13942916110185,0.0349478946710299,0.0705269453227197
2,1,2.04722954115413,2.05228782859691,0.0341484337154131,0.0670663855220181
2,1,2.04524087443127,2.04682231384276,0.0342366854143594,0.0687472544521481
2,1,2.07667441310017,2.06453832617135,0.034766530960632,0.0672621250792299
2,1,1.95447298991136,1.93206837672141,0.0307095911052444,0.0643931683204419
2,1,1.98302636085713,1.95978020151557,0.0351193478255988,0.0666200938457825
2,1,2.14646479211596,2.13163114288422,0.0324640410340272,0.0682738903430549
2,1,2.01024492693731,2.02709423077299,0.0322534655987128,0.065366658218957
2,1,2.07346317773968,2.07832006903077,0.0338543500791493,0.0675032930573494
2,1,2.02981363277302,2.03674467581845,0.0353109824460599,0.0697761521522906
2,1,1.93413685934235,1.94199564937794,0.0320316351141537,0.0647207767673641
2,1,2.01185625818829,2.00575494985894,0.0339163292340191,0.0687432177469823
2,1,2.03629221582904,2.0431103311307,0.0327318276320796,0.068036696273021
2,1,1.97982554889864,1.95412980638953,0.0345386404660275,0.0651795245027613
2,1,2.11454188514336,2.12821487155775,0.0348264890003525,0.0679754297206163
2,1,1.91693627572907,1.9255689876473,0.031398134182386,0.0666747511408377
2,1,1.95414853880012,1.90202291517821,0.0339014714152355,0.0649529442820911
2,1,1.925611398954,1.94862979116139,0.0327785203121789,0.0674894583266225
2,1,1.96192634820608,1.99099271450115,0.0344256488918475,0.0688145101397975
2,1,2.08630243122718,2.04640435704075,0.034035034126694,0.0678502405516197
2,1,2.06588882790781,1.98592669351039,0.034186895625508,0.0660708747397958
2,1,1.92113823053499,1.97916473566323,0.0323617320935234,0.066454716223004
2,1,2.05035714874066,2.07830260760769,0.0365911692167938,0.0657396173693881
2,1,1.91753227164078,1.91459041908771,0.0343227595076764,0.0653313292178385
2,1,2.06354846683115,2.03031961262123,0.0349473910933804,0.066382076793486
2,1,1.97584926513565,1.95435609065942,0.0323346205919092,0.0659178076423024
2,1,2.12950181094375,2.08426318223033,0.0344632814004409,0.0695545081846281
2,1,2.05652146793158,2.03775890130029,0.0347177934302944,0.0677029909326446
2,1,1.96804371663702,1.96120985410627,0.0312944495395937,0.0669744126985851
2,1,2.1061421374193,2.08454900451363,0.0344340676537883,0.0702967662240992
2,1,2.08574785645368,2.02807808297736,0.0370659403673595,0.0685205909861361
2,1,2.07919231471297,2.09238373840394,0.0338141775407484,0.0697594741036257
2,1,1.95195314739689,2.00287719356502,0.0322813309521778,0.0660729090263098
